Company,Address,BBBRating,Phone,BusinessStarted,NumberEmployees,BusinessCategories
Priceless Companions Pet Care,"Northeast Phoenix, Fountain Hills, AZ 85268",A+,(480) 837-2904,1/1/2001,,"Pet Sitting, Pet Services, Pet Transport, Pet Exercise"
"Cactus Critter Sitters, LLC","13201 South Wakial Loop Apartment 2021, Phoenix, AZ 85044-5081",A+,(480) 830-7387,6/1/2006,,"Pet Services, Pet Sitting, Pet Transport"
"Chewie Boots Pet Care, LLC","W3216 Westowne Ct, Appleton, WI 54915-6152",A+,(920) 221-0303,4/24/2016,,"Pet Services, Pet Sitting, Pet Transport, Pet Waste Removal, Pet Exercise, Dog Walkers"
Prestige Pet Voyage,"1801 Bayberry Ct, Richmond, VA 23226-3771",A+,(804) 452-7389,,,Pet Transport
"Pawsitive Pup Care, LLC","Unknown, Madison, WI 53719",A+,(608) 712-9908,3/20/2017,,"Pet Services, Pet Boarding, Pet Sitting, Pet Transport, Pet Training, Pet Exercise"
Pure Teacup Yorkie Home,"832 Traver Ave # South, South Boston, VA 24592-3353",,(424) 322-0891,,,Pet Transport
Welsh Corgi Homes,"1304 Chesapeake St., Charlottesville, VA 22902",A+,(614) 219-9736,,,Pet Transport
Hotel K Pet Sitting,"5376 Farmco Dr Ste 1, Madison, WI 53704-7656",A+,(608) 286-1573,3/11/2016,,"Pet Boarding, Dog Boarding, Pet Sitting, Pet Services, Pet Transport, Pet Day Care, House Sitting, Pet Exercise, Dog Walkers"
National Pet Recovery,"704 Greengate Cir, Saint Johns, MI 48879-2140",A+,(989) 224-3210,3/1/1995,,Pet Transport
Blue Point Express,"1527 West Grandview Road, Phoenix, AZ 85023",,(678) 856-7166,12/17/2021,,Pet Transport
Platinum Pet's Transport LLC,"2526 Cleveland St, Hollywood, FL 33020-3016",,(954) 666-1133,,,Pet Transport
United Cargo Transporters,"Fort Lauderdale, FL 33316",A+,(206) 337-1186,10/13/1997,,Pet Transport
United Cargo Transporters,"1756 NW Market St., Seattle, WA 98107",A+,(206) 337-1186,10/13/1997,,Pet Transport
Reliable Pet Airway,"True Address Unknown, Camp Hill, PA 17011",F,(312) 236-4743,,,
PCSmypet.com,"Honolulu, HI 96818-5760",A+,(808) 489-6100,6/19/2020,,"Pet Transport, Relocation Services, Pet Services, Moving Assistance"
Pet Transportation Services- Livestock Cooperation,"123 Stone Mountain, Marietta, GA 30068",,(237) 331-4986,,,Pet Transport
United Pet Airline,"200 S Walnut St, Lansing, MI 48929",,(817) 527-9228,,,Pet Transport
Perfect Paws Training and Sitting,"Jacksonville, FL 32226",A+,(904) 887-8643,11/11/2014,,"Pet Sitting, Dog Training, Pet Services, Dog Daycare, Pet Transport, Pet Training, Concierge Service, Pet Day Care, House Sitting, Pet Exercise, Sitting Services, Dog Walkers, Medication Management"
Furever Furbaby Transport,"Bankston, AL 35542-2020",,(662) 466-0241,7/4/2018,,"Pet Transport, Pet Services, Pets"
Tails in the Air LLC,"Fort Worth, TX 76244-5704",A+,(920) 222-9595,5/1/2021,,Pet Transport
"Fur Babies Transportion, Inc.","79 Granite Ln, Mountain Home, AR 72653-8390",,,,,Pet Transport
Ozark Mountain Transports LLC,"282 Nighthawk Ln, Green Forest, AR 72638-3670",A+,(225) 290-6939,2/1/2020,,Pet Transport
Premier Pet Express,"782 S Elm Springs Rd, Elm Springs, AR 72762-2921",A+,(479) 244-6745,2/9/2021,,"Pet Transport, Transportation"
Westurban Courier Service,"3051 Charles City Rd, Richmond, VA 23231",F,(443) 212-8162,,,Pet Transport
Pet Lift Equipment LLC,"6008 31st St E, Bradenton, FL 34203-5309",A+,(888) 388-1159,1/1/1968,,Pet Transport
Meathead-Bullies,"Columbiaville, MI 48421-9632",A+,(810) 922-5644,12/29/2021,,"Dog Breeders, Pet Transport, Pet Training"
S. Benton Enterprises LLC,"3232 Hamilton Mill Rd, Buford, GA 30519",B-,(770) 255-9460,1/30/2019,,Pet Transport
Jet Pets Express Shipping,"10096 38th Ave NE, Seattle, WA 98125",,(646) 781-7581,,,Pet Transport
"Feline Courier, LLC","20079 Stone Oak Pkwy 1105 172, San Antonio, TX 78258",A+,,5/5/2021,,Pet Transport
Happy Pet Travel,"Unable to locate address, Orlando, FL 32803",F,(407) 476-6257,,,
GBI Shipping Express,"1111 Cape Coral St, Cape Coral, FL 33909",F,(760) 278-3991,,,
Lucky's Pet Limo,"Weeki Wachee, FL 34613-7411",A+,(352) 397-7957,1/14/2019,,Pet Transport
Air Animal Pet Movers,"5796 Hoffner Ave STE 603, Orlando, FL 32822-4822",,(813) 879-3210,3/1/1977,,"Pet Transport, Pet Services, Veterinarian Information"
Two Shepherds LLC,"328 Barton Avenue, East Patchogue, NY 11772-4204",A+,(631) 356-5048,3/12/2022,,"Dog Daycare, Dog Training, Dog Boarding, Pet Transport"
Happy Tails Travel,"2001 E Plumb Ln, Reno, NV 89502-3259",,(702) 357-5537,12/17/1996,,Pet Transport
Misty Morning Labrador Retrievers,"2140 Proffitt Road, Manakin Sabot, VA 23103",A+,(804) 749-8138,,,Pet Transport
The Doggy Dojo,"3735 W Belmont Ave, Chicago, IL 60618-5233",,(312) 217-3656,10/15/2010,,"Dog Daycare, Pet Sitting, Pet Transport"
"Lost Paws, Inc.","682 State Road 198, Salem, UT 84653-4508",,(801) 423-1334,,,
Taxi USA,"45 N 300 E, St George, UT 84770-2916",,(435) 656-1500,11/7/1990,,"Taxi, Limo Service, Medical Transportation, Pet Transport, Wheelchairs"
"K9 Experts, LLC","72 68th St Fl 2, Guttenberg, NJ 07093-4415",A+,(973) 564-6100,4/3/2009,,"Pet Services, Dog Training, Dog Boarding, Pet Sitting, Dog Daycare, Pet Transport"
"K9 Experts, LLC","83 Old Stirling Road, Warren, NJ 07059-5809",A+,(973) 564-6100,4/3/2009,,"Pet Services, Dog Training, Dog Boarding, Pet Sitting, Dog Daycare, Pet Transport"
Elegant Pet Carriers Texas,"5219 Tacoma Dr, Houston, TX 77041",,(281) 356-0253,,,Pet Transport
Ana's Sphynx Kittens,"Fredricksburg, VA 22406",A,(703) 662-4362,,,Pet Transport
Secure Home & Pet Sitting Services LLC,"Casa Grande, AZ 85122-6052",A+,(520) 709-0299,5/3/2017,,"Pet Sitting, Pet Services, Pet Transport, House Sitting, Pet Exercise"
Mobile Animal Services Inc.,"910 Vegas Dr, Saint Louis, MO 63125-1728",,(314) 852-9699,1/1/1999,,Pet Transport
Wizard of Paws,"Serving Central San Diego County, San Diego, CA 92110",A+,(619) 212-3705,10/1/2004,,"Pet Sitting, Pet Services, Pet Transport"
Sarandipity Pet Care Services,"5051 La Jolla Blvd Unit 304, San Diego, CA 92109",A+,(619) 208-0823,5/11/2009,,"Pet Sitting, Pet Transport, Pet Exercise"
Tims Pet Minivan LLC,"75A Lake Rd Ste 105, Congers, NY 10920-2323",,(917) 449-6610,,,Pet Transport
World Carpet Transportation,"do not know address, richmond, VA 23222",,(910) 420-9864,,,Pet Transport
Animal House Pets & Supplies,"100 Fox St, Mukwonago, WI 53149-1401",A+,(262) 363-7387,11/1/2015,,"Pet Store, Pet Boarding, Pet Supplies, Pet Services, Pet Transport, Find A Pet, Pets"
"The Pet Shuttle, Inc.","472 W State Hwy 266, Springfield, MO 65802",A+,(417) 862-4456,,,"Pet Grooming, Pet Transport"
Melinda Brazenal,"Ewa Beach, HI 96706-2834",A+,(201) 882-6686,,,"Pet Transport, Pet Shop"
Maika'i Pet Sitting and Grooming,"41 Karsten Dr, Wahiawa, HI 96786-2815",A+,(808) 201-8030,12/9/2015,,"Pet Services, Mobile Pet Grooming, Pet Boarding, Pet Sitting, Pet Transport"
"Rapid Logistics, Inc.","5 Forest St, Attleboro, MA 02703",A+,(508) 222-5100,1/1/2015,6,"Delivery Service, Pet Transport, Couriers"
Aloha Pet Excursions,"PO Box 1074, Pearl City, HI 96782-8074",A+,(808) 291-2447,10/6/2003,,"Pet Sitting, Pet Services, Pet Transport"
Hometown Veterinary Hospital and River Canine Rehabilitation,"2215 W Republic Rd, Springfield, MO 65807-5705",A+,(417) 883-7297,2/1/2002,,"Pet Boarding, Pet Grooming, Veterinarian, Dog Boarding, Pet Supplies, Animal Hospitals, Pet Transport, Emergency Vet, Veterinary Surgery"
Pet Board Transport,"809 N Carnation Dr, Aurora, MO 65605-2805",,(417) 678-6010,,,Pet Transport
"Airbound Pets, Inc.","10951 Highway TT, Grovespring, MO 65662-8172",A+,(417) 531-3192,12/5/2005,,Pet Transport
Pink poodle,"255 N Business Ih 35, New Braunfels, TX 78130-7856",A+,(210) 273-2037,1/15/2015,,"Pet Grooming, Pet Boarding, Dog Boarding, Pet Supplies, Pet Store, Pet Services, Pet Transport, Pet Day Care"
Worldwide Animal Travel,"1143 Miller RD, Richmond, VA 23231",,(804) 624-4796,,,Pet Transport
Heaven's Gate Can Wait Rescue and Transport,"3003 Pinch Rd, Manheim, PA 17545-9551",,(717) 917-1911,,,Pet Transport
american air carriers,"Richmond International Airport Henrico County VA, Richmond, VA 23250",,(804) 354-5112,,,Pet Transport
Transpet Relocators,"6511 Stuart st, Richmond, VA 23226",,(757) 300-5264,,,Pet Transport
Animal Ambulance Of Southern California Inc,"12752 Garden Grove Blvd, Garden Grove, CA 92843-1923",A+,(866) 473-8911,5/11/2001,,Pet Transport
Millennium Dog Walkers and Pet Care Inc.,"400 N Mcclurg Ct Apt 1015, Chicago, IL 60611-4351",,(312) 532-7275,12/20/2012,,"Pet Day Care, Pet Sitting, Pet Services, Pet Transport, Pet Exercise"
pet's air flyers cargo usa,"8445 airport plaza, Laurel, MD 20707",,(240) 257-3154,,,Pet Transport
Pupchella LLC,"157 Mill St, Hopedale, MA 01747-2000",A+,(508) 808-0998,8/6/2014,4,"Pet Exercise, Pet Boarding, Pet Sitting, Dog Daycare, Pet Transport, Dog Walkers"
Adorable Miniature Golden Doodles,"634 Reas Ford Road, Earlysville, VA 22936",A+,(434) 284-6069,,,"Dog Breeders, Pet Transport"
Awesome Blue Frenchie Pups,"2017 North Ave., Richmond, VA 23222",F,(281) 516-8745,,,
Bob Hubbard Horse Transportation Inc,"Auburn, WA 98001",A+,(800) 472-7786,6/1/1994,,Pet Transport
Super Pet Express,"305 W Atlantic Ave, Seattle, WA 98144",,(612) 223-6019,,,Pet Transport
Yeller Cab LLC,"4828 NE 28th Ave, Portland, OR 97211-6335",,(503) 309-0000,5/26/2011,,Pet Transport
Premier Mobile Pet Care and Grooming,"251 Franklin Mine Rd, Helena, MT 59602-7114",A+,(406) 465-4429,7/3/2019,,"Pet Grooming, Pet Transport, Pet Training"
We Move Pets,"York, PA 17406-7538",F,(443) 330-2373,,,
EasternAir Cargo,"9800 Airport Blvd, San Antonio, TX 78216",A,(877) 912-1223,7/9/2020,,Pet Transport
Swift Pet Ways LTD,"18723 Camden Heights Ln, Richmond, TX 77407",,(469) 598-3056,,,Pet Transport
Bellingham Pet Cab,"Bellingham, WA 98225",,(360) 818-4858,5/18/2020,,Pet Transport
Hendricks Animal Transportation,"7100 Terminal Dr, Oklahoma City, OK 73159",,(405) 400-8385,,,"Pet Transport, Animal Trapping"
Aramex global transport,"4004 NE 4th St, Renton, WA 98056-4102",B-,(619) 928-2645,,,Pet Transport
Homeland Pes Transport Agency,"18723 Camden Heights Ln, Richmond, TX 77407",,(409) 206-0397,,,Pet Transport
Watchdog Pet Sitting Services & More,"Tucson, AZ 85743-1173",A+,(678) 923-7049,3/2/2020,,"Pet Sitting, Pet Services, Pet Transport, Pet Waste Removal, Pets, Pet Exercise, Aquarium Maintenance"
expresslivedelivery.com,"11013 Airport Hwy, Swanton, OH 43558-9321",A+,(419) 359-4234,,1,Pet Transport
"Auntie Jenn Is Here, LLC","Parma, OH 44130-1241",A+,(330) 421-5362,3/1/2017,,"Pet Sitting, Pet Transport, Dog Walkers"
"Lucky Dog Pet Service, LLC","150 Hamakua Dr # PM735, Kailua, HI 96734-2825",A+,(808) 782-3557,11/7/2015,,"Pet Services, Pet Sitting, Pet Transport, Dog Walker"
"Lucky Dog Pet Service, LLC","Kaneohe, HI 96744-5042",A+,(808) 782-3557,11/7/2015,,"Pet Services, Pet Sitting, Pet Transport, Dog Walker"
Best Loved Pets,"19721 69th Pl W, Lynnwood, WA 98036",,(206) 715-5950,3/1/2012,,"Pet Exercise, Pet Sitting, Dog Daycare, Pet Transport, Pet Day Care, Dog Walker"
prime pet voyage,"14018 Sullyfield Cir, Chantilly, VA 20151-1685",,(804) 452-7381,,,Pet Transport
Pretty Paws Boutique,"913 W Loop 281 Ste 108, Longview, TX 75604-2929",A+,(903) 297-5877,6/1/1995,,"Pet Grooming, Pet Sitting, Pet Transport, Pet Day Care, Pet Photographer"
"Pet Travel, Incorporated","PO Box 23364, Fort Lauderdale, FL 33307",A+,(877) 241-0184,7/10/2001,,Pet Transport
Paws & Claws Transport,"10297 Quail Run Rd, Tyler, TX 75709-3918",,(903) 316-7905,,,Pet Transport
JJ's Helping Hand,"1049 Riddle Oak Ln, Lake Wylie, SC 29710-9510",,(803) 574-6066,11/1/2018,1,"Concierge Service, House Cleaning, Pressure Washing, Landscape Design, Delivery Service, Personal Organizer, Pet Sitting, Pet Transport, Personal Services, Packing Service, Personal Shopper, Moving Assistance, House Sitting, Senior Delivery Services, Grocery Delivery"
Dunham's Transportation Services,"Ellenboro, NC 28040-6606",A+,(828) 305-8597,5/1/2021,1,Pet Transport
Pacific Ship Express,"400 W Peachtree St NW Unit 710, Atlanta, GA 30308-3545",F,(806) 391-4816,,,
AIM Pet Delivery,"Atlanta, GA 30302",F,(678) 210-3647,,,Pet Transport
World Pet Transit.us,"6000 N Terminal Pkwy, Atlanta, GA 30320-7400",,(240) 233-4193,,,Pet Transport
Doggie Dude Ranch & O'Cat Corral LLC,"1600 S Quail Run Rd, Watkins, CO 80137-8820",A+,(303) 366-2498,7/23/2004,,"Pet Boarding, Pet Services, Pet Transport"
Purr-N-Paw Homecare,"PO Box 4, Grove City, OH 43123-0004",A+,(614) 565-5575,10/1/2015,,"Pet Sitting, Pet Transport, Dog Walkers"
Purr-N-Paw Homecare,"Grove City, OH 43123-8284",A+,(614) 565-5575,10/1/2015,,"Pet Sitting, Pet Transport, Dog Walkers"
Eau Claire Pet Care LLC,"Eau Claire, WI 54703-5135",A+,(715) 828-7588,3/2/2017,,"Pet Sitting, Pet Transport, Pet Day Care, Pet Exercise"
Federal Pets Express,"S Oregon St, Yreka, CA 96097",F,(530) 334-6825,4/27/2021,,
OOTO Enterprises,"Phoenix, AZ 85004",A+,(928) 254-9313,2/1/2019,,"Pet Sitting, Pet Transport, Dog Walker"
"Fantabulous Pet Transport, LLC","Leola, PA 17540-1928",A+,(717) 808-9685,11/12/2020,,Pet Transport
